exp_id,description,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,epochs_trained,train_time_sec
E1,Baseline ANN (34 fitur),0.7676380656163838,0.6035435546362113,0.4848199376501872,0.4809987615388048,0.7280595522869528,0.7676380656163838,0.728333315745682,18,198.76714730262756
E2,ANN + Dropout,0.7680287287670822,0.4827860280961725,0.4800356648363547,0.4752099500226925,0.6998271370963317,0.7680287287670822,0.7263979486251855,44,506.5805766582489
E3,ANN + Batch Normalization,0.7667064842570263,0.6011925316880741,0.486160900237705,0.48275055706608333,0.7272218966359192,0.7667064842570263,0.7282738527275472,16,235.0827453136444
E4,ANN + Dropout + Batch Normalization,0.769027924902522,0.7075228939323024,0.4794867010962027,0.4754881822046017,0.7516667592419194,0.769027924902522,0.7267627267678376,44,682.4932458400726
E5,ANN + Class Weight,0.6625722163372324,0.5359538937760718,0.5811217646245124,0.5346202222643893,0.7494317046986998,0.6625722163372324,0.6955524956170404,15,121.51697206497192
E6,ANN + Dropout + Class Weight,0.6659304168826583,0.5386318627233436,0.5790210454247137,0.5363395356088085,0.7503122211756593,0.6659304168826583,0.6985056312560688,19,213.58345651626587
E7,ANN + SMOTE (arsitektur sama seperti E1),0.7205180794398491,0.5575287670903317,0.5316915410597877,0.5314266144648686,0.7393277613966003,0.7205180794398491,0.7226432918495972,18,156.79766702651978
